league_id,name,type,country,country_code,season,season_start,season_end,logo,flag,standings,is_current,coverage_standings,coverage_fixtures_events,coverage_fixtures_lineups,coverage_fixtures_statistics,coverage_fixtures_players_statistics,coverage_players,coverage_topscorers,coverage_predictions,coverage_odds
1411,Løgmanssteypid,Cup,Faroe-Islands,FO,2018,2018-04-25,2018-08-25,https://media.api-sports.io/football/leagues/491.png,https://media.api-sports.io/flags/fo.svg,0,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1412,National Division,League,Luxembourg,LU,2019,2019-08-04,2020-05-16,https://media.api-sports.io/football/leagues/261.png,https://media.api-sports.io/flags/lu.svg,1,0,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
1413,Tweede Divisie,League,Netherlands,NL,2019,2019-08-24,2020-05-23,https://media.api-sports.io/football/leagues/492.png,https://media.api-sports.io/flags/nl.svg,1,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1414,Tweede Divisie,League,Netherlands,NL,2018,2018-08-25,2019-05-25,https://media.api-sports.io/football/leagues/492.png,https://media.api-sports.io/flags/nl.svg,0,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1415,Tweede Divisie,League,Netherlands,NL,2017,2017-08-26,2018-05-26,https://media.api-sports.io/football/leagues/492.png,https://media.api-sports.io/flags/nl.svg,1,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1416,A Lyga,League,Lithuania,LT,2020,2020-03-06,2020-10-31,https://media.api-sports.io/football/leagues/362.png,https://media.api-sports.io/flags/lt.svg,1,1,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
1417,Ligue Haïtienne,League,Haiti,HT,2020,2020-02-29,2020-05-24,https://media.api-sports.io/football/leagues/379.png,https://media.api-sports.io/flags/ht.svg,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1418,1. Liga,League,Latvia,LV,2020,2020-04-04,2020-11-08,https://media.api-sports.io/football/leagues/364.png,https://media.api-sports.io/flags/lv.svg,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
1419,UEFA U19 Championship,Cup,World,,2020,2019-10-08,2020-09-08,https://media.api-sports.io/football/leagues/493.png,,0,1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1420,UEFA U19 Championship,Cup,World,,2019,2018-10-10,2019-07-27,https://media.api-sports.io/football/leagues/493.png,,0,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1421,UEFA U19 Championship,Cup,World,,2018,2017-10-03,2018-07-29,https://media.api-sports.io/football/leagues/493.png,,0,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1422,UEFA Nations League,Cup,World,,2020,2020-09-03,2020-11-18,https://media.api-sports.io/football/leagues/5.png,,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1423,Super League 2,League,Greece,GR,2019,2019-09-28,2020-07-04,https://media.api-sports.io/football/leagues/494.png,https://media.api-sports.io/flags/gr.svg,0,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1424,Hazfi Cup,Cup,Iran,IR,2019,2019-09-28,2020-09-03,https://media.api-sports.io/football/leagues/495.png,https://media.api-sports.io/flags/ir.svg,0,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1425,Hazfi Cup,Cup,Iran,IR,2018,2018-09-12,2019-06-02,https://media.api-sports.io/football/leagues/495.png,https://media.api-sports.io/flags/ir.svg,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1426,Hazfi Cup,Cup,Iran,IR,2017,2017-09-07,2018-05-03,https://media.api-sports.io/football/leagues/495.png,https://media.api-sports.io/flags/ir.svg,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1427,Hazfi Cup,Cup,Iran,IR,2016,2016-10-26,2017-05-11,https://media.api-sports.io/football/leagues/495.png,https://media.api-sports.io/flags/ir.svg,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1428,Liga Alef,League,Israel,IL,2019,2019-09-12,2020-06-30,https://media.api-sports.io/football/leagues/496.png,https://media.api-sports.io/flags/il.svg,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1429,Liga Alef,League,Israel,IL,2018,2018-09-14,2019-05-17,https://media.api-sports.io/football/leagues/496.png,https://media.api-sports.io/flags/il.svg,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1430,Liga Alef,League,Israel,IL,2017,2017-09-07,2018-05-18,https://media.api-sports.io/football/leagues/496.png,https://media.api-sports.io/flags/il.svg,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
